ensembl_gene_id,Log2 RPKM mean_FemaleASD,Log2 RPKM mean_MaleASD,Log2 RPKM mean_MaleControl,Log2 RPKM mean_FemaleControl
ENSG00000079101,0.879488,0.700144,,
ENSG00000101605,0.582701,0.543139,,
ENSG00000238445,0.987459,0.567727,,
ENSG00000207278,0.710842,0.748746,,
ENSG00000250933,0.526434,0.568475,,
ENSG00000206432,0.803398,0.663278,,
ENSG00000207092,0.503331,0.55313,,
ENSG00000238309,0.503331,0.631453,,
ENSG00000215527,0.747661,0.852171,,
ENSG00000186481,0.798608,0.572215,,
ENSG00000212329,0.844746,0.893836,,
ENSG00000180777,0.700044,0.629566,,
ENSG00000199874,0.653104,0.647466,,
ENSG00000260372,0.766733,0.563177,,
ENSG00000199204,0.738095,0.535414,,
ENSG00000167306,0.575797,0.578435,,
ENSG00000141642,0.562008,0.534964,,
ENSG00000081923,0.616871,0.52424,,
ENSG00000101493,0.561397,0.508018,,
ENSG00000263146,0.646607,0.683366,,
ENSG00000226762,0.726942,0.805748,,
ENSG00000196139,0.536666,0.519089,,
ENSG00000235141,0.796245,0.963624,,
ENSG00000252118,0.703762,0.551701,,
ENSG00000239665,0.624543,0.521498,,
ENSG00000207930,0.610514,0.554514,,
ENSG00000151023,0.628045,0.640599,,
ENSG00000206605,1.23457,0.80589,,
ENSG00000253054,0.773761,0.704727,,
ENSG00000226578,0.575724,0.558205,,
ENSG00000243660,0.54676,0.569431,,
ENSG00000252532,0.607959,0.567428,,
ENSG00000226561,0.639254,0.50917,,
ENSG00000235279,0.511804,0.677298,,
ENSG00000150275,0.516167,0.670143,,
ENSG00000122870,0.537362,0.675554,,
ENSG00000226095,0.729535,0.82362,,
ENSG00000221159,1.03816,0.669589,,
ENSG00000236375,0.574338,0.614809,,
ENSG00000138346,0.575284,0.58685,,
ENSG00000224222,0.604167,0.580606,,
ENSG00000156521,0.583388,0.591372,,
ENSG00000244365,0.551469,0.507052,,
ENSG00000156042,0.689402,0.585595,,
ENSG00000251582,0.587799,0.519318,,
ENSG00000206756,0.875753,0.66816,,
ENSG00000242897,0.717312,0.650753,,
ENSG00000207275,0.850765,0.617624,,
ENSG00000198682,0.575203,0.571561,,
ENSG00000107796,0.806041,1.65811,,
ENSG00000138193,0.57416,0.697021,,
ENSG00000231829,0.772337,0.716248,,
ENSG00000236552,0.635411,0.563648,,
ENSG00000224474,0.753316,0.642859,,
ENSG00000075826,0.689997,0.615001,,
ENSG00000186862,0.554578,0.502707,,
ENSG00000203886,0.636967,0.595237,,
ENSG00000234221,0.509126,0.616277,,
ENSG00000228169,0.75908,0.717117,,
ENSG00000176769,0.68909,0.616453,,
ENSG00000171813,0.604493,0.501745,,
ENSG00000235245,0.58821,0.530225,,
ENSG00000198546,0.622886,0.528488,,
ENSG00000171772,0.533087,0.608558,,
ENSG00000196476,0.560107,0.604586,,
ENSG00000234282,0.634876,0.591113,,
ENSG00000185019,0.598452,0.555122,,
ENSG00000226632,0.996536,0.648817,,
ENSG00000221201,0.841769,0.592858,,
ENSG00000201348,0.895189,0.639032,,
ENSG00000234187,0.686148,0.678692,,
ENSG00000239923,0.554644,0.544229,,
ENSG00000089091,0.579241,0.527607,,
ENSG00000221748,0.734339,0.60036,,
ENSG00000101004,0.516959,0.582851,,
ENSG00000226465,0.564682,0.522202,,
ENSG00000174365,0.587444,0.575994,,
ENSG00000244558,0.688233,0.538702,,
ENSG00000132801,0.596391,0.545327,,
ENSG00000182463,0.668034,0.522002,,
ENSG00000196074,0.778663,0.596418,,
ENSG00000132825,0.64736,0.607361,,
ENSG00000101181,0.669236,0.626433,,
ENSG00000101180,0.683316,0.618731,,
ENSG00000149679,0.765037,0.72357,,
ENSG00000225978,0.638411,0.538215,,
ENSG00000101216,0.618774,0.601059,,
ENSG00000197114,0.59908,0.549832,,
ENSG00000130584,0.557656,0.694428,,
ENSG00000199805,0.64872,0.547727,,
ENSG00000216164,0.806296,0.65987,,
ENSG00000207554,0.61569,0.688978,,
ENSG00000184731,0.643708,0.611046,,
ENSG00000234423,0.823975,0.683502,,
ENSG00000238722,0.743805,0.589011,,
ENSG00000236008,0.765445,0.79866,,
ENSG00000205795,0.510745,0.537581,,
ENSG00000119771,0.509039,0.521421,,
ENSG00000221445,0.603414,0.712809,,
ENSG00000171303,0.581875,0.650673,,
ENSG00000163793,0.656481,0.599023,,
ENSG00000200003,1.06036,0.549817,,
ENSG00000225991,0.839434,0.838267,,
ENSG00000213626,0.675543,0.601297,,
ENSG00000158089,0.616677,0.622673,,
ENSG00000207653,0.626314,0.56366,,
ENSG00000115841,0.615773,0.514248,,
ENSG00000252239,0.975121,0.709848,,
ENSG00000152527,0.57292,0.57638,,
ENSG00000143919,0.53575,0.579679,,
ENSG00000238165,0.687866,0.750783,,
ENSG00000233266,0.564317,0.577969,,
ENSG00000233723,0.603695,0.546392,,
ENSG00000237162,0.503563,0.542019,,
ENSG00000232693,0.687623,0.604349,,
ENSG00000232228,0.872032,0.562487,,
ENSG00000250810,0.57331,0.561342,,
ENSG00000162951,0.679812,0.695261,,
ENSG00000212001,0.642967,0.740041,,
ENSG00000153574,0.580138,0.625821,,
ENSG00000163067,0.516215,0.503913,,
ENSG00000170417,0.71271,0.695919,,
ENSG00000234177,0.517422,0.575505,,
ENSG00000201470,0.529647,0.747062,,
ENSG00000163046,1.00513,0.798315,,
ENSG00000121988,0.560321,0.635026,,
ENSG00000212389,0.563226,0.666291,,
ENSG00000153250,0.665739,0.626184,,
ENSG00000115290,0.619567,0.634723,,
ENSG00000082438,0.7293,0.672722,,
ENSG00000223318,0.946773,0.679388,,
ENSG00000169507,0.935624,0.696916,,
ENSG00000228222,0.885948,0.816999,,
ENSG00000252779,0.92008,0.769806,,
ENSG00000144355,0.790049,0.790353,,
ENSG00000223960,0.697426,0.671053,,
ENSG00000232430,0.682333,0.577276,,
ENSG00000162998,0.511532,1.00537,,
ENSG00000188738,0.666546,0.715872,,
ENSG00000226410,0.803694,0.72806,,
ENSG00000223249,0.982485,0.996398,,
ENSG00000231145,0.61569,0.575312,,
ENSG00000252130,1.0802,0.724488,,
ENSG00000236977,0.617096,0.605962,,
ENSG00000212534,0.903826,0.844527,,
ENSG00000236047,0.590801,0.619369,,
ENSG00000233579,0.827636,1.03041,,
ENSG00000115457,0.566173,0.520353,,
ENSG00000072195,0.589771,0.625462,,
ENSG00000221199,0.97838,0.640105,,
ENSG00000221432,1.1817,0.714375,,
ENSG00000232784,0.763289,0.589222,,
ENSG00000144460,0.682173,0.877646,,
ENSG00000169047,0.798827,0.660827,,
ENSG00000241530,0.561488,0.933895,,
ENSG00000207626,0.853469,0.625477,,
ENSG00000199781,0.680043,0.55545,,
ENSG00000235529,0.534978,0.62884,,
ENSG00000144476,0.523587,0.57713,,
ENSG00000142330,0.554182,0.575858,,
ENSG00000162804,0.581966,0.647286,,
ENSG00000237161,1.04013,0.580622,,
ENSG00000187667,0.594946,0.537228,,
ENSG00000261622,0.73369,0.649269,,
ENSG00000200661,0.808565,0.524216,,
ENSG00000200398,1.02759,0.532296,,
ENSG00000259152,0.514512,0.545668,,
ENSG00000104044,0.518512,0.516661,,
ENSG00000159248,0.64165,0.565856,,
ENSG00000103932,0.658991,0.638791,,
ENSG00000140326,0.657713,0.650845,,
ENSG00000240430,0.511804,0.565376,,
ENSG00000185607,0.592316,0.510856,,
ENSG00000259659,0.555349,0.577957,,
ENSG00000140263,0.542331,0.520143,,
ENSG00000252376,0.722094,0.694015,,
ENSG00000242737,0.6282,0.590532,,
ENSG00000207484,0.520571,0.537674,,
ENSG00000202323,0.716127,0.699583,,
ENSG00000259935,0.746895,0.613369,,
ENSG00000069943,0.532632,0.583095,,
ENSG00000261072,0.683211,0.561776,,
ENSG00000140455,0.538427,0.635142,,
ENSG00000169118,0.598426,0.622553,,
ENSG00000166192,0.525108,0.538944,,
ENSG00000103855,0.54242,0.603043,,
ENSG00000167178,0.582121,0.601984,,
ENSG00000179335,0.6075,0.569124,,
ENSG00000173548,0.56836,0.554992,,
ENSG00000136425,0.581184,0.535594,,
ENSG00000259562,0.687866,0.677016,,
ENSG00000235711,0.783117,0.739023,,
ENSG00000169330,0.515601,0.560045,,
ENSG00000259404,0.733912,0.816202,,
ENSG00000225151,0.574492,0.526871,,
ENSG00000176700,0.671624,0.6277,,
ENSG00000140543,0.615313,0.580907,,
ENSG00000221630,1.02111,0.579069,,
ENSG00000207703,0.888823,0.957281,,
ENSG00000239151,0.631767,0.742712,,
ENSG00000183208,0.582356,0.501345,,
ENSG00000198901,0.61251,0.510445,,
ENSG00000259706,0.658766,0.63285,,
ENSG00000212306,0.534305,0.620923,,
ENSG00000259583,0.576587,0.539235,,
ENSG00000154237,0.77821,0.746422,,
ENSG00000188242,0.542629,0.528628,,
ENSG00000215196,0.744578,0.684324,,
ENSG00000249937,0.652519,0.57588,,
ENSG00000248624,0.660221,0.519931,,
ENSG00000251887,0.852501,0.812915,,
ENSG00000214108,0.697041,0.567276,,
ENSG00000249774,0.823404,0.542733,,
ENSG00000152582,0.589909,0.517859,,
ENSG00000249850,0.641829,0.669351,,
ENSG00000242493,0.662271,0.749802,,
ENSG00000238508,1.04585,0.896043,,
ENSG00000222960,0.796612,0.895932,,
ENSG00000207627,1.22078,0.941142,,
ENSG00000164512,0.560613,0.50466,,
ENSG00000242765,0.734339,0.630015,,
ENSG00000214244,0.916818,0.657893,,
ENSG00000207352,0.669265,0.605468,,
ENSG00000248803,0.845365,0.643648,,
ENSG00000198237,0.716754,0.515325,,
ENSG00000172062,0.561517,0.545581,,
ENSG00000250615,0.715027,0.593883,,
ENSG00000152380,0.622605,0.642216,,
ENSG00000131730,0.512434,0.561416,,
ENSG00000248794,0.619397,0.545245,,
ENSG00000250320,0.502338,0.561702,,
ENSG00000249776,0.651464,0.695202,,
ENSG00000251293,0.686825,0.813181,,
ENSG00000184838,0.52665,0.519098,,
ENSG00000252295,1.26643,0.765309,,
ENSG00000113368,0.565896,0.510898,,
ENSG00000248610,0.636422,0.561626,,
ENSG00000222266,0.888823,0.500862,,
ENSG00000199880,0.590664,0.650247,,
ENSG00000177839,0.641018,0.510136,,
ENSG00000197479,0.682386,0.513288,,
ENSG00000187372,0.683528,0.603437,,
ENSG00000261934,0.602021,0.588034,,
ENSG00000231185,0.649874,0.669046,,
ENSG00000208035,0.716127,0.691223,,
ENSG00000207700,1.29378,0.970102,,
ENSG00000155846,0.725523,0.6164,,
ENSG00000214485,0.500421,0.64754,,
ENSG00000135074,0.625149,0.725491,,
ENSG00000164611,0.724667,0.514009,,
ENSG00000241956,0.551373,0.517587,,
ENSG00000229119,0.547864,0.83146,,
ENSG00000184347,0.577211,0.626129,,
ENSG00000204764,0.579354,0.573892,,
ENSG00000254328,0.507062,0.681155,,
ENSG00000170085,0.731273,0.70381,,
ENSG00000048162,0.634544,0.619312,,
ENSG00000169220,0.627651,0.776074,,
ENSG00000170074,1.08128,0.800326,,
ENSG00000248367,0.832,0.763071,,
ENSG00000070404,0.567182,0.512688,,
ENSG00000129951,0.511036,0.674936,,
ENSG00000099625,0.722759,0.640039,,
ENSG00000115255,0.601191,0.545044,,
ENSG00000181588,0.57266,0.598694,,
ENSG00000172081,0.566537,0.726445,,
ENSG00000175691,0.601043,0.567541,,
ENSG00000171970,0.506048,0.525393,,
ENSG00000065717,1.00357,0.708376,,
ENSG00000105298,0.638148,0.673674,,
ENSG00000105278,0.640896,0.641172,,
ENSG00000206775,0.718264,0.555252,,
ENSG00000207630,0.888823,1.20501,,
ENSG00000104880,0.526832,0.50668,,
ENSG00000076826,0.757202,0.775745,,
ENSG00000260001,0.584951,0.551752,,
ENSG00000197256,0.546715,0.920834,,
ENSG00000238349,0.511804,0.519784,,
ENSG00000161914,0.591061,0.506972,,
ENSG00000197647,0.624938,0.613046,,
ENSG00000132004,0.61892,0.638408,,
ENSG00000252177,0.927337,0.664395,,
ENSG00000074181,0.554416,0.631584,,
ENSG00000105655,0.723544,0.694289,,
ENSG00000184162,0.572875,0.647928,,
ENSG00000250067,0.603014,0.605989,,
ENSG00000160229,0.633746,0.606074,,
ENSG00000213965,0.525396,0.571583,,
ENSG00000126243,0.550209,0.631655,,
ENSG00000205041,0.52296,0.574615,,
ENSG00000142039,0.65516,0.628693,,
ENSG00000167383,0.535564,0.596968,,
ENSG00000125753,0.514441,0.607977,,
ENSG00000125741,0.507541,0.524933,,
ENSG00000257704,0.573961,0.63926,,
ENSG00000126464,0.682418,0.616305,,
ENSG00000104973,0.611413,0.590855,,
ENSG00000142528,0.572282,0.569026,,
ENSG00000142549,0.714176,0.695249,,
ENSG00000182310,0.555086,0.619216,,
ENSG00000160336,0.541414,0.61636,,
ENSG00000088038,0.526081,0.51558,,
ENSG00000160439,0.624601,0.595405,,
ENSG00000018869,0.571155,0.568421,,
ENSG00000127903,0.547367,0.537615,,
ENSG00000152433,0.734339,0.632643,,
ENSG00000204519,0.556775,0.598814,,
ENSG00000204514,0.715902,0.654312,,
ENSG00000249471,0.55166,0.554331,,
ENSG00000083838,0.589091,0.600771,,
ENSG00000119574,0.633072,0.564815,,
ENSG00000181404,0.512582,0.506131,,
ENSG00000236404,0.535516,0.514322,,
ENSG00000230001,0.632169,0.550687,,
ENSG00000224972,0.53269,0.56658,,
ENSG00000238348,0.685565,0.616511,,
ENSG00000224955,0.702059,0.646254,,
ENSG00000260947,0.544647,0.544493,,
ENSG00000251748,1.00998,0.852871,,
ENSG00000227383,0.502551,0.683255,,
ENSG00000137070,0.662615,0.54159,,
ENSG00000165282,0.563398,0.579041,,
ENSG00000235619,0.55291,0.553186,,
ENSG00000206784,0.747015,0.546139,,
ENSG00000175768,0.614039,0.506396,,
ENSG00000106714,0.549142,0.515569,,
ENSG00000196409,0.500934,0.523417,,
ENSG00000224193,0.627668,0.709259,,
ENSG00000165060,0.535217,0.586287,,
ENSG00000239183,0.596725,0.554424,,
ENSG00000226721,0.580948,0.592211,,
ENSG00000227603,0.590079,0.630584,,
ENSG00000227666,0.811175,0.700889,,
ENSG00000199133,0.752961,0.510386,,
ENSG00000175787,0.570025,0.589193,,
ENSG00000232063,0.589019,0.512544,,
ENSG00000230815,0.662212,0.628192,,
ENSG00000175611,0.662081,0.590523,,
ENSG00000199202,0.854514,0.508619,,
ENSG00000233820,0.787751,0.58951,,
ENSG00000203279,0.513295,0.507923,,
ENSG00000106789,0.616654,0.517063,,
ENSG00000170681,0.570725,0.502207,,
ENSG00000229419,0.616333,0.624549,,
ENSG00000259953,0.636678,0.571967,,
ENSG00000177736,0.717215,0.614913,,
ENSG00000230396,0.702155,0.638536,,
ENSG00000106992,0.607587,0.549317,,
ENSG00000175287,0.620667,0.553442,,
ENSG00000240853,0.734664,0.519903,,
ENSG00000127191,0.60534,0.537847,,
ENSG00000235117,0.665859,0.532144,,
ENSG00000188566,0.515598,0.521734,,
ENSG00000181090,0.608154,0.572265,,
ENSG00000234769,0.564116,0.619577,,
ENSG00000103148,0.532208,0.589641,,
ENSG00000103126,0.586547,0.538834,,
ENSG00000127580,0.56279,0.505817,,
ENSG00000059145,0.542682,0.52933,,
ENSG00000100726,0.64019,0.613755,,
ENSG00000187535,0.756353,0.679397,,
ENSG00000197774,0.722348,0.700231,,
ENSG00000167962,0.609172,0.520153,,
ENSG00000215154,0.714433,0.644944,,
ENSG00000122386,0.524691,0.570009,,
ENSG00000239283,0.57208,0.582266,,
ENSG00000188827,0.646224,0.60641,,
ENSG00000260835,1.0196,0.749344,,
ENSG00000259963,1.17972,1.09899,,
ENSG00000252405,0.61569,0.74996,,
ENSG00000067365,0.530969,0.517992,,
ENSG00000238728,1.07455,0.759976,,
ENSG00000260872,0.716601,0.579005,,
ENSG00000250251,0.772266,0.702335,,
ENSG00000103222,0.632071,0.602703,,
ENSG00000214967,0.578846,0.564716,,
ENSG00000261596,0.636017,0.615531,,
ENSG00000207248,0.967271,0.542158,,
ENSG00000175267,0.639462,0.582596,,
ENSG00000257122,0.693722,0.626187,,
ENSG00000262155,0.540247,0.56829,,
ENSG00000188322,0.693849,0.772368,,
ENSG00000176476,0.543108,0.514247,,
ENSG00000169955,0.507027,0.527389,,
ENSG00000156853,0.520172,0.561674,,
ENSG00000156858,0.557941,0.587898,,
ENSG00000156873,0.549109,0.520135,,
ENSG00000222767,0.620956,0.700836,,
ENSG00000238544,0.576614,0.647043,,
ENSG00000261291,0.6941,0.610326,,
ENSG00000261056,0.713788,0.704233,,
ENSG00000261389,0.537271,0.514761,,
ENSG00000260936,0.566082,0.588036,,
ENSG00000124074,0.662223,0.561486,,
ENSG00000141084,0.675203,0.683974,,
ENSG00000167264,0.502628,0.557631,,
ENSG00000182810,0.584417,0.541683,,
ENSG00000259797,0.745501,0.731392,,
ENSG00000200164,0.814681,0.825155,,
ENSG00000213380,0.585571,0.531209,,
ENSG00000157349,0.554695,0.533578,,
ENSG00000180917,0.556455,0.630701,,
ENSG00000251868,0.511804,0.518541,,
ENSG00000207525,0.669265,0.623569,,
ENSG00000186187,0.636146,0.65739,,
ENSG00000140950,0.667076,0.61502,,
ENSG00000103187,0.571733,0.579934,,
ENSG00000204991,0.733015,0.651369,,
ENSG00000223959,0.508546,0.509959,,
ENSG00000260528,0.570138,0.669003,,
ENSG00000228009,0.651677,0.528463,,
ENSG00000232795,0.778273,0.639061,,
ENSG00000234835,0.652153,0.606109,,
ENSG00000221100,0.598304,0.53285,,
ENSG00000238408,0.738095,0.598867,,
ENSG00000237585,0.576077,0.518535,,
ENSG00000170919,0.743721,0.688377,,
ENSG00000236577,0.861292,0.742515,,
ENSG00000186047,0.551787,0.612286,,
ENSG00000123191,0.654976,0.620876,,
ENSG00000220981,0.698814,0.585936,,
ENSG00000221473,0.574792,0.878092,,
ENSG00000125285,0.535018,0.565963,,
ENSG00000247400,0.646382,0.55024,,
ENSG00000203341,0.507918,0.522027,,
ENSG00000134871,0.618085,0.775502,,
ENSG00000134905,0.573905,0.561001,,
ENSG00000153531,0.67356,0.527583,,
ENSG00000101871,0.557248,0.62071,,
ENSG00000169239,0.514309,0.550026,,
ENSG00000044446,0.576892,0.533403,,
ENSG00000004848,0.573967,0.61073,,
ENSG00000238606,1.16111,0.734831,,
ENSG00000183690,0.515811,0.515227,,
ENSG00000231566,0.556911,0.521825,,
ENSG00000147119,0.543639,0.57775,,
ENSG00000102302,0.688498,0.717788,,
ENSG00000222596,1.24238,0.92465,,
ENSG00000230986,0.757483,0.552605,,
ENSG00000199168,0.670327,0.516749,,
ENSG00000189108,0.517663,0.53191,,
ENSG00000182890,0.699763,0.601666,,
ENSG00000232599,0.725872,0.847062,,
ENSG00000212747,0.503879,0.522205,,
ENSG00000202279,0.685565,1.03318,,
ENSG00000230707,0.501774,0.516915,,
ENSG00000235703,0.587274,0.59699,,
ENSG00000225110,0.555114,0.653874,,
ENSG00000102032,0.596412,0.548622,,
ENSG00000130827,0.553449,0.647157,,
ENSG00000197932,0.526672,0.560947,,
ENSG00000155962,0.574157,0.544289,,
ENSG00000182484,0.586747,0.594733,,
ENSG00000002822,0.603081,0.537265,,
ENSG00000136213,0.706393,0.588546,,
ENSG00000106003,0.500001,0.550314,,
ENSG00000106009,0.588947,0.587166,,
ENSG00000155034,0.659588,0.637641,,
ENSG00000238534,0.786447,0.876748,,
ENSG00000235920,0.512685,0.558438,,
ENSG00000171243,0.57103,0.561088,,
ENSG00000223030,0.520571,0.631945,,
ENSG00000225264,0.5084,0.533671,,
ENSG00000244480,0.660673,0.584951,,
ENSG00000207573,0.610514,0.531257,,
ENSG00000211688,0.511804,0.56867,,
ENSG00000106536,0.596205,0.508754,,
ENSG00000181211,1.14925,0.84308,,
ENSG00000146674,0.555955,0.520098,,
ENSG00000178665,0.509352,0.600444,,
ENSG00000164776,0.543639,0.58425,,
ENSG00000226002,0.775803,0.524711,,
ENSG00000232270,0.778989,0.540766,,
ENSG00000230189,0.574014,0.622168,,
ENSG00000235475,0.917042,0.735173,,
ENSG00000174353,0.705789,0.691642,,
ENSG00000009950,0.609118,0.520698,,
ENSG00000176428,0.656411,0.67486,,
ENSG00000071462,0.514839,0.578844,,
ENSG00000006704,0.596904,0.517611,,
ENSG00000123965,0.756197,0.7878,,
ENSG00000135213,0.619171,0.647515,,
ENSG00000205485,0.667912,0.633025,,
ENSG00000146707,0.57353,0.606911,,
ENSG00000225726,0.505598,0.557411,,
ENSG00000135185,0.663192,0.56174,,
ENSG00000235436,0.736839,0.558258,,
ENSG00000237818,1.09061,0.971181,,
ENSG00000238228,0.668207,0.656464,,
ENSG00000198556,0.595527,0.617217,,
ENSG00000221838,0.589774,0.559971,,
ENSG00000242294,0.580864,0.620202,,
ENSG00000160813,0.607645,0.637839,,
ENSG00000146776,0.589904,0.559477,,
ENSG00000199646,1.0802,0.942198,,
ENSG00000105939,0.500511,0.626505,,
ENSG00000211767,1.14839,0.768939,,
ENSG00000223459,0.677551,0.572947,,
ENSG00000226857,0.692125,0.515557,,
ENSG00000232391,0.862506,0.757754,,
ENSG00000204947,0.529574,0.520974,,
ENSG00000181220,0.697472,0.622074,,
ENSG00000133619,0.608912,0.593941,,
ENSG00000196456,0.584152,0.559054,,
ENSG00000164897,0.650022,0.635576,,
ENSG00000216895,0.531384,0.511238,,
ENSG00000244291,0.513308,0.535778,,
ENSG00000228327,0.661753,0.757098,,
ENSG00000242937,0.645661,0.592871,,
ENSG00000162572,0.602847,0.546433,,
ENSG00000160072,0.655939,0.623599,,
ENSG00000197921,0.548933,0.725344,,
ENSG00000169598,0.575505,0.53858,,
ENSG00000158292,0.575605,0.65704,,
ENSG00000041988,0.588857,0.615707,,
ENSG00000224315,0.772943,0.67883,,
ENSG00000171608,0.670968,0.596454,,
ENSG00000201746,0.779347,0.62703,,
ENSG00000238547,0.563226,0.500231,,
ENSG00000120942,0.586676,0.544534,,
ENSG00000116663,0.592536,0.581037,,
ENSG00000239149,0.789435,0.585925,,
ENSG00000132906,0.604518,0.567921,,
ENSG00000132881,0.635261,0.765315,,
ENSG00000204377,0.668207,0.678637,,
ENSG00000238142,1.10889,0.978416,,
ENSG00000142794,0.509779,0.560891,,
ENSG00000230068,0.554867,0.59661,,
ENSG00000249087,0.603749,0.593131,,
ENSG00000117305,0.522243,0.56348,,
ENSG00000158006,0.521323,0.503654,,
ENSG00000142684,0.630982,0.513761,,
ENSG00000090020,0.615103,0.605824,,
ENSG00000130766,0.692974,0.610689,,
ENSG00000242125,0.640003,0.631762,,
ENSG00000121775,0.528622,0.631723,,
ENSG00000160050,0.566118,0.513156,,
ENSG00000162522,0.610556,0.667725,,
ENSG00000121904,0.633907,0.731277,,
ENSG00000214193,0.783632,0.668279,,
ENSG00000183317,0.784083,0.690652,,
ENSG00000127124,0.523149,0.63338,,
ENSG00000186409,0.686119,0.629896,,
ENSG00000164011,0.559118,0.590938,,
ENSG00000199377,0.662055,0.623605,,
